variable,description,type,scale
bacteroid_type,The type of intracellular structure formed in the root system of a plant when infected by rhizobia.,categorical,-
collection_country,The country where a plant was collected.,categorical,-
collection_day,The callendar day when a plant was collected.,numeric,Gregorian day
collection_locality,"The locality where a plant was collected, in a descriptive form.",categorical,-
collection_month,The callendar month when a plant was collected.,numeric,Gregorian month
collection_municipality,The municipality where a plant was collected.,categorical,-
collection_stateProvince,The state or province where a plant was collected.,categorical,-
collection_year,The callendar year when a plant was collected.,numeric,Gregorian year
coord_latitude,The north-south position of a plant on Earth's surface.,numeric,Decimal degree (DM)
coord_longitude,The west-east position of a plant on Earth's surface.,numeric,Decimal degree (DM)
coord_source,The information source used to obtain the georeferenced coordinates.,categorical,-
experiment_day,The number of days elapsed since the start of an experiment.,numeric,count
experiment_flower_id,The identification code of a flower in a given experiment. Equal codes may not represent the same flower across experiments.,categorical,-
experiment_matrix_id,The identification code of a matrix (mother plant) in a given experiment. Equal codes may not represent the same matrix across experiments.,categorical,-
experiment_plant_id,The identification code of a plant in a given experiment. Equal codes may not represent the same plant across experiments.,categorical,-
experiment_treatment,The treatement applied to an observation in a given experiment. Equal names may not represent the same type of treament across experiments.,categorical,-
fiel_plant_id,The identification code of a plant in a given fieldwork.,categorical,-
flower_bud_n,The number of flower buds counted on a plant.,numeric,count
flower_day_rate,The number of flowers oppening on a plant by day.,numeric,flower:day
flower_herkogamy,"The linear distance between the pollen-receiving and the pollen-presenting structures within a flower. In buzz-pollinated flowers, it is the distance between the stigma and the closest anther pore.",numeric,milimeter (mm)
flower_n,The number of flowers counted on a plant.,numeric,count
flower_visiting_hour,The hour when a flower was visited by an animal.,numeric,ante meridiem (am)
flower_visiting_time,Time elapsed between sucessive visits to a flower. Time zero (0) represents the first visit.,numeric,minute (min)
flower_visitor_coupling,A flower-visitor phenotypic coupling index. It is calculated as the difference between the flower herkogamy and the visitor abdominal width.,numeric,milimeter (mm)
flowering_first_day,The number of days elapsed until the first flowering of a plant.,numeric,count
flowering_peak_day,The number of days elapsed until the peak flowering of a plant.,numeric,count
flowering_presence,Whether a plant was flowering.,logic,-
fruit_n,The number of fruits counted on a plant.,numeric,count
fruit_placentation_n,The number of placentations counted in a fruit.,numeric,count
fruiting_presence,Whether a plant formed fruits.,logic,-
harbarium_voucher,The collector name and collection number assigned to a plant deposited in a herbarium.,categorical,-
hebarium_barcode,The barcode number asssigned to a plant deposited in a herbarium.,categorical,-
herbarium,"The herbarium where a plant is deposited, following the acronyms of Thiers [continously updated]",categorical,-
identification_type,The type of information used to validate a taxonomic identification.,categorical,-
identification_year,The callendar year when a plant was taxonomically identified.,numeric,Gregorian year
identifier,The person who provided a taxonomic identification for a plant.,categorical,-
leaf_efn_active_n,The number of leaves with active extrafloral nectaries counted on a plant.,numeric,count
leaf_max_length,The maximum distance measured along the main longitudinal axis of all leaves found on a plant.,numeric,centimeter (cm)
leaf_n,The number of leaves counted on a plant.,numeric,count
leaf_samp_mass,The summed mass of leaves sampled from a plant.,numeric,gram (g)
leaf_samp_n,The number of leaves sampled from a plant.,numeric,count
leaf_scar_n,The number of leaf scars counted on a plant.,numeric,count
leaf_total_mass,The total mass of all leaves from a plant. ,numeric,gram (g)
matrix_mortality_index,The total number of plants devided by the number of surviving plants from a same matrix (mother plant) in a given experiment.,numeric,total:surviving plant
matrix_mortality_n,The number of dead plants from a same matrix (mother plant) in a given experiment.,numeric,count
matrix_mortality_ratio,The number of dead plants divided by the total number of plants from a same matrix (mother plant) in a given experiment.,numeric,dead:total plant
matrix_plant_n,The total number of plants deriving from a same matrix (mother plant) in a given experiment.,numeric,count
matrix_survival_n,The number of surviving plants from a same matrix (mother plant) in a given experiment.,numeric,count
nodule_n,The number of root nodules counted on a plant.,numeric,count
nodule_presence,Whether a plant had nodules in its root system.,logic,-
nodule_samp_mass,The summed mass of root nodules sampled from a plant.,numeric,gram (g)
nodule_samp_n,The number of root nodules sampled from a plant.,numeric,count
nodule_total_mass,The total mass of all root nodules from a plant.,numeric,gram (g)
plant_height,The linear distance between the ground layer and the upper boundary of the plant shoot.,numeric,meter (m)
pollen_deposited_n,The number of pollen grains counted on a flower stigma.,numeric,count
pollen_remained_n,The number of pollen grains counted from all anthers of a visited flower.,numeric,count
pollen_removed_n,The difference of pollen grains between unvisited and visited flowers.,numeric,count
root_total_mass,The total mass of all root system from a plant.,numeric,gram (g)
seed_inviable_n,The number of inviables seeds counted in a fruit.,numeric,count
seed_lost_n,The number of lost seeds counted in a fruit.,numeric,count
seed_viable_n,The number of viables seeds counted in a fruit. ,numeric,count
seed_viable_ratio,The number of viables seeds divided by the number of placentations in a fruit.,numeric,seed:placentation
stem_n,The number of stems counted on a plant.,numeric,count
stem_total_mass,The total mass of all stems from a plant.,numeric,gram (g)
visitor_abdomen_width,The linear distance across the widest part of the abdomen of a bee visitor.,numeric,milimeter (mm)
visitor_amplitude_max,The maximum relative peak of amplitude of vibrational pulses by a bee visitor.,numeric,Decibel (dB)
visitor_amplitude_mean,The average relative peak of amplitude of vibrational pulses by a bee visitor.,numeric,Decibel (dB)
visitor_amplitude_min,The minimum relative peak of amplitude of vibrational pulses by a bee visitor.,numeric,Decibel (dB)
visitor_amplitude_sd,The standard deviation of the average relative peak of amplitude during virbational pulses of a bee visitor.,numeric,Decibel (dB)
visitor_buzzing_pulse_ratio,The buzzing time divided by the number of vibration pulses.,numeric,second:pulse
visitor_buzzing_time,The time taken by a bee visitor vibrating and extracting pollen grains from poricidal anthers.,numeric,second (s)
visitor_displacement_max,"The greatest circular movement by a bee visitor, either clockwise or counterclockwise movements, between the vibrational pulses applied to the anthers. ",numeric,degree (°) 
visitor_displacement_mean,"The sum of all circular movements by a bee visitor divided by the number of vibrational pulses applied to the anthers. The calculation disconsiders the position during the first vibrational pulse, which is set to zero.",numeric,degree:pulse
visitor_displacement_sum,"The sum of all circular movements by a bee visitor, including clockwise and counterclockwise movements, between the vibrational pulses applied to the anthers.",numeric,degree (°) 
visitor_frequency_max,The maximum frequency of vibrational pulses by a bee visitor.,numeric,Hertz (Hz)
visitor_frequency_mean,The average fundamental frequency of vibrational pulses by a bee visitor.,numeric,Hertz (Hz)
visitor_frequency_sd,The standard deviation of the fundamental frequency of vibrational pulses by a bee visitor.,numeric,Hertz (Hz)
visitor_grooming_time,The time taken by a bee visitor cleaning itself and transfering pollen grains to its scopa or corbicula.,numeric,second (s)
visitor_handling_time,The sum of the buzzing and the grooming times.,numeric,second (s)
visitor_intertegular,The linear distance between the inner margins of the tegulae of a bee visitor.,numeric,milimeter (mm)
visitor_pulse_n,The number of vibrational pulses applied by a bee visitor.,numeric,count
visitor_species,The taxonomic identification of an animal visiting a flower.,categorical,-
visitor_thorax_width,The linear distance across the widest part of the thorax of a bee visitor.,numeric,milimeter (mm)
visitor_touched_stigma,Whether a visitor had touched the stigma of a flower.,logic,-
