key,data_source,species_reported,identifier,identification_type,identification_year,herbarium,herbarium_barcode,harbarium_voucher,field_plant_id,collection_year,collection_month,collection_day,collection_country,collection_stateProvince,collection_municipality,collection_locality,coord_longitude,coord_latitude,coord_source,reference,notes
LP2024_000001,herbarium,Chamaecrista_anceps,Rando_JG,taxonomist_literature,2014,SPF,225153,Cota_MMT_410,NA,2012,12,03,Brazil,Minas_Gerais,Diamantina,"""Campus JK da UFVJM. area proximo ao corrego soberbo""",-43.567986,-18.194761,locality_based,splink,NA
LP2024_000002,herbarium,Chamaecrista_anceps,Rando_JG,taxonomist,2018,HUFABC,001169,Prochazka_LS_57,NA,2018,12,17,Brazil,Minas_Gerais,Diamantina,"""Campus da UFVJM, campo rupestre ao fundo do campus.""",-43.563109,-18.194687,estimated,splink,NA
LP2024_000003,herbarium,Chamaecrista_anceps,Rando_JG,taxonomist_literature,2008,HRCB,29003,Farinaccio_MA_60,NA,1997,06,07,Brazil,Minas_Gerais,Santana_do_Riacho,"""Serra do Cipo, Informacao informal passada pelo primeiro coletor e de que a coleta foi realiizada proxima a estatua do Velho Juca""",-43.552719,-19.257951,estimated,splink,NA
LP2024_000004,herbarium,Chamaecrista_anceps,Cota_MMT,taxonomist,2014,NY,02707794,Cota_MMT_703,NA,2014,05,23,Brazil,Minas_Gerais,Diamantina,"""Campus JK da UFVJM. Perto da Estrada que vai ate o corrego soberbo, atras da pocilga.""",-43.57039,-18.19814,field_measured,splink,NA
LP2024_000005,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,MBM,297453,Hatschbach_GG_77508,NA,2004,06,07,Brazil,Minas_Gerais,Joaquim_Felicio,"""Serra do Cabral, Rio Embaiassaia - Rio Preto""",-44.212264,-17.769025,estimated,splink,"""Nos dados do splink o numero de coleta esta incorreto. """
LP2024_000006,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,NY,00959456,Irwin_HS_23409,NA,1969,02,16,Brazil,Minas_Gerais,Grao_Mogol,"""Serra do Espinhaco, ca. 7 km west of Grao Mogol""",-42.960071,-16.566932,estimated,splink,NA
LP2024_000007,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist,2020,VIC,36985,Coutinho_IAC_96,NA,2012,08,14,Brazil,Minas_Gerais,Grao_Mogol,"""Parque Estadual Grao Mogol, Solo areno-pedregoso de campo rupestre.""",-42.913611,-16.595278,field_measured,splink,NA
LP2024_000008,herbarium,Chamaecrista_aristata,Cota_MMT,taxonomist,2015,SPF,217210,Fraga_CN_3357,NA,2011,06,05,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada de Grao Mogol para a BR 152, Vale do Rio Itacambirucu, Jambreiro.""",-42.912778,-16.592778,locality_based,splink,NA
LP2024_000009,herbarium,Chamaecrista_aristata,Cota_MMT,taxonomist,2015,SPF,217211,Fraga_CN_3359,NA,2011,06,05,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada de Grao Mogol para a BR 152, Vale do Rio Itacambirucu, Jambreiro.""",-42.912778,-16.592778,locality_based,splink,NA
LP2024_000010,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,HUEFS,39818,Hatschbach_GG_67980,NA,1998,07,18,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada Grao-Mogol para Cristalia, ponte sobre o rio Itacambirucu.""",-42.902501,-16.593061,estimated,splink,NA
LP2024_000011,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2008,UEC,156350,Souza_VC_25670,NA,2001,07,11,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada Grao Mogol - Cristalia, ca. 6 Km de Grao Mogol. Campo rupestrre com elementos de caatinga.""",-42.901389,-16.596389,locality_based,splink,NA
LP2024_000012,literature,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2012,SPF,NA,Rando_JG_976,NA,2011,04,12,Brazil,Minas_Gerais,Grao_Mogol,"""Serra de Grao Mogol""",-42.901222,-16.590361,field_measured,Rando_2014,"""Dado recuperado da tese da Ju. """
LP2024_000013,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,HUEFS,67973,Queiroz_LP_7528,NA,2003,01,08,Brazil,Minas_Gerais,Grao_Mogol,"""Serra de Grao Mogol.""",-42.895278,-16.555556,locality_based,splink,NA
LP2024_000014,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist,2020,MCCA,1612,Iglesias_DT_sn,NA,2017,08,19,Brazil,Minas_Gerais,Grao_Mogol,"""Trilha do Barao""",-42.891352,-16.546303,estimated,splink,NA
LP2024_000015,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,HUEFS,75077,Conceicao_AS_715,NA,2003,09,09,Brazil,Minas_Gerais,Grao_Mogol,"""Serra do Barao.""",-42.890278,-16.554444,locality_based,splink,NA
LP2024_000016,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,NY,00959454,Martinelli_G_11236,NA,1985,07,21,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada para Cristalia, e a 4-6 km de Grao Mogol, proximo ao rio Itacambirissu""",-42.890233,-16.594681,estimated,splink,NA
LP2024_000017,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist,2020,HUEFS,221633,Verdi_M_7065,NA,2014,06,24,Brazil,Minas_Gerais,Grao_Mogol,"""Parque Estadual de Grao Mogol. Serra do Curiaca, a partir da floresta no inicio dos campos ruspestres ate o ponto georreferenciado (meio encosta).""",-42.878611,-16.358611,field_measured,splink,NA
LP2024_000018,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,NY,00959453,MelloSilva_R_451,NA,1991,06,12,Brazil,Minas_Gerais,Grao_Mogol,"""Extremidade norte da Serra da Bocaina, na rodovia BR 251. Nascente do Rio Ventania""",-42.766577,-16.31602,estimated,splink,NA
LP2024_000019,herbarium,Chamaecrista_aristata,Cota_MMT,taxonomist,2017,HUEFS,243431,Cota_MMT_994,NA,2017,06,25,Brazil,Minas_Gerais,Grao_Mogol,"""Estrada de Cristalia-Grao Mogol, MG-307, proximo a entrada da cidade de Grao Mogol e proximo ao rio Itacambirucu.""",-42.8925,-16.592778,field_measured,splink,NA
LP2024_000020,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,NY,00959452,MelloSilva_R_10016,NA,1986,09,02,Brazil,Minas_Gerais,Grao_Mogol,"""Rib. dos Bois""",-42.8875,-16.5738,estimated,splink,NA
LP2024_000021,herbarium,Chamaecrista_aristata,Rando_JG,taxonomist_literature,2014,NY,00978863,Carvalho_AM_6548,NA,1998,08,02,Brazil,Minas_Gerais,Grao_Mogol,"""Grao Mogol, atras da cidade. Trilha do Barao""",-42.895,-16.55,locality_based,splink,NA
LP2024_000022,literature,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2012,BHCB,133939,Carmo_FF_4060,NA,2009,11,25,Brazil,Minas_Gerais,Brumadinho,"""Parque Estadual do Rola Moca, Afloramento de quartzito""",-44.026750,-20.076861,field_measured,Rando_2014,"""Identificacao correta na tese da Ju. No splink esta identificado como C. repens. """
LP2024_000023,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,NY,00978954,Madsen_V_41,NA,1998,07,05,Brazil,Minas_Gerais,Nova_Lima,"""Serra da Moeda, Brumadinho""",-43.985361,-20.101046,estimated,splink,NA
LP2024_000024,herbarium,Chamaecrista_arrojadoana,Rando_JG,taxonomist_literature,2014,NY,00978931,Madsen_V_91,NA,1998,09,20,Brazil,Minas_Gerais,Nova_Lima,"""Serra da Moeda, Brumadinho""",-43.983404,-20.098928,estimated,splink,NA
