key,data_source,experiment_plant_id,experiment_flower_id,flower_visiting_hour,flower_visiting_time,flower_herkogamy,flower_visitor_coupling,visitor_intertegular,visitor_thorax_width,visitor_abdomen_width,visitor_species,visitor_touched_stigma,visitor_handling_time,visitor_grooming_time,visitor_buzzing_time,visitor_pulse_n,visitor_buzzing_pulse_ratio,visitor_displacement_mean,visitor_displacement_max,visitor_displacement_sum,visitor_frequency_mean,visitor_frequency_sd,visitor_frequency_max,visitor_amplitude_mean,visitor_amplitude_sd,visitor_amplitude_min,visitor_amplitude_max,pollen_deposited_n,fruiting_presence,fruit_placentation_n,seed_viable_n,seed_inviable_n,seed_lost_n,seed_viable_ratio,pollen_remained_n,pollen_removed_n
BB2023_000001,experiment,D11,B001,06:50,0,NA,NA,5.15,7.41,7.29,Bombus_morio,TRUE,26,8,18,16,1.13,18.86,109.35,282.94,141.2,19.1,190,-30.68,7.97,-32.7,-25.1,23,TRUE,15,4,11,0,0.3,12333,896334
BB2023_000002,experiment,D16,B002,07:15,25,NA,NA,3.35,7.03,9.26,Bombus_morio,TRUE,120,40,56,44,1.27,37.86,173.45,1627.77,173.9,14.06,202,-27.61,8.02,-41.8,-16.6,39,TRUE,17,14,3,0,0.8,7333,901334
BB2023_000003,experiment,D30,B003,07:40,50,NA,NA,3.74,5.81,7.58,Bombus_morio,TRUE,27,0,14,16,0.88,41.21,176.77,618.14,140.75,14.07,159,-34.19,0.54,-35,-33,25,TRUE,19,13,6,0,0.7,41667,867000
BB2023_000004,experiment,D03,G001,07:49,59,NA,NA,4.1,5.05,6.24,Bombus_morio,TRUE,14,2,7,9,0.78,34.63,163.15,277.03,157,14.08,172,-44.56,0.53,-45,-44,3,FALSE,NA,NA,NA,NA,NA,53333,855334
BB2023_000005,experiment,D06,G002,08:14,84,NA,NA,6.13,7.86,7.72,Bombus_morio,TRUE,33,4,24,21,1.14,31.95,129.45,638.99,174.7,14.09,273,-43.57,1.03,-45,-41,23,TRUE,17,12,1,4,0.7,10000,898667
BB2023_000006,experiment,D27,B004,06:20,0,NA,NA,7.75,10.02,9.07,Eulaema_nigrita,TRUE,17,NA,6,2,3,NA,NA,NA,207.5,14.1,211,-35.8,1.56,-36.9,-34.7,11,TRUE,14,9,5,0,0.6,NA,NA
BB2023_000007,experiment,D08,G003,06:30,10,NA,NA,7.88,9.57,9.98,Xylocopa_sp,TRUE,9,NA,5,2,2.5,NA,NA,NA,150.5,14.11,157,-45.5,0.71,-46,-45,34,TRUE,17,16,1,0,0.9,NA,NA
BB2023_000008,experiment,D21,B005,06:40,20,NA,NA,5.33,5.65,8.39,Bombus_morio,TRUE,80,21,32,18,1.78,21.86,67.35,371.6,204.33,14.12,240,-25.77,4.83,-34.6,-17.7,25,TRUE,18,17,1,0,0.9,15667,893000
BB2023_000009,experiment,D12,B006,07:29,69,NA,NA,6.44,7.53,8.89,Eulaema_nigrita,TRUE,11,NA,5,3,1.67,NA,NA,NA,197.67,14.13,199,-34.97,4.01,-39.3,-31.4,67,TRUE,16,8,8,0,0.5,NA,NA
BB2023_000010,experiment,D24,B007,07:54,94,NA,NA,3.85,4.66,4.99,Centris_tarsata,TRUE,35,NA,8,5,1.6,NA,NA,NA,200,14.14,237,-33.14,4.22,-39.9,-29.6,70,TRUE,18,16,2,0,0.9,NA,NA
