key,data_source,species_reported,experiment_plant_id,experiment_matrix_id,experiment_treatment,experiment_day,plant_height,leaf_n,leaf_scar_n,flower_bud_n,flower_n,flower_day_rate,flowering_presence,flowering_first_day,flowering_peak_day
CS2024_000001,experiment,Chamaecrista_latistipula,P14_a,P14,rhizobium_absent_organic_matter,113,0.39,12,7,0,NA,NA,FALSE,NA,NA
CS2024_000002,experiment,Chamaecrista_latistipula,P06_a,P06,rhizobium_absent_organic_matter,113,0.36,25,2,0,NA,NA,TRUE,220,220
CS2024_000003,experiment,Chamaecrista_latistipula,P12_a,P12,rhizobium_absent_organic_matter,113,0.355,13,3,0,NA,NA,FALSE,NA,NA
CS2024_000004,experiment,Chamaecrista_latistipula,P18_a,P18,rhizobium_absent_organic_matter,113,0.345,11,9,0,NA,NA,FALSE,NA,NA
CS2024_000005,experiment,Chamaecrista_latistipula,1999_a,1999,rhizobium_absent_organic_matter,113,0.59,24,11,0,NA,NA,FALSE,NA,NA
CS2024_000006,experiment,Chamaecrista_latistipula,2139_a,2139,rhizobium_absent_organic_matter,113,0.615,23,10,0,NA,NA,TRUE,162,162
CS2024_000007,experiment,Chamaecrista_latistipula,1989_a,1989,rhizobium_absent_organic_matter,113,0.44,23,1,0,NA,NA,TRUE,220,220
CS2024_000008,experiment,Chamaecrista_latistipula,2191_a,2191,rhizobium_absent_organic_matter,113,0.425,21,1,0,NA,NA,TRUE,220,220
CS2024_000009,experiment,Chamaecrista_latistipula,P13_a,P13,rhizobium_absent_organic_matter,113,0.6,32,10,0,NA,NA,TRUE,220,220
CS2024_000010,experiment,Chamaecrista_latistipula,P20_a,P20,rhizobium_absent_organic_matter,113,0.365,17,1,0,NA,NA,TRUE,450,450
CS2024_000011,experiment,Chamaecrista_latistipula,P11_a,P11,rhizobium_absent_organic_matter,113,0.335,14,3,0,NA,NA,TRUE,162,162
CS2024_000012,experiment,Chamaecrista_latistipula,P16_a,P16,rhizobium_absent_organic_matter,113,0.64,27,13,0,NA,NA,TRUE,162,162
CS2024_000013,experiment,Chamaecrista_latistipula,4109_a,4109,rhizobium_absent_organic_matter,113,0.59,47,8,0,NA,NA,TRUE,149,149
CS2024_000014,experiment,Chamaecrista_latistipula,1979_a,1979,rhizobium_absent_organic_matter,113,0.55,40,4,0,NA,NA,TRUE,162,162
CS2024_000015,experiment,Chamaecrista_latistipula,2137_a,2137,rhizobium_absent_organic_matter,113,0.45,19,3,0,NA,NA,FALSE,NA,NA
CS2024_000016,experiment,Chamaecrista_latistipula,1947_a,1947,rhizobium_absent_organic_matter,113,0.3,16,3,0,NA,NA,FALSE,NA,NA
CS2024_000017,experiment,Chamaecrista_latistipula,P14_b,P14,rhizobium_absent_sand_soil,113,0.56,19,13,0,NA,NA,FALSE,NA,NA
CS2024_000018,experiment,Chamaecrista_latistipula,P06_b,P06,rhizobium_absent_sand_soil,113,0.27,9,4,0,NA,NA,FALSE,NA,NA
CS2024_000019,experiment,Chamaecrista_latistipula,P12_b,P12,rhizobium_absent_sand_soil,113,0.245,9,6,0,NA,NA,FALSE,NA,NA
CS2024_000020,experiment,Chamaecrista_latistipula,P18_b,P18,rhizobium_absent_sand_soil,113,0.32,12,8,0,NA,NA,TRUE,450,450
CS2024_000021,experiment,Chamaecrista_latistipula,1999_b,1999,rhizobium_absent_sand_soil,113,0.29,10,9,0,NA,NA,FALSE,NA,NA
CS2024_000022,experiment,Chamaecrista_latistipula,2139_b,2139,rhizobium_absent_sand_soil,113,0.305,10,9,0,NA,NA,FALSE,NA,NA
CS2024_000023,experiment,Chamaecrista_latistipula,1989_b,1989,rhizobium_absent_sand_soil,113,0.455,14,4,0,NA,NA,FALSE,NA,NA
CS2024_000024,experiment,Chamaecrista_latistipula,2191_b,2191,rhizobium_absent_sand_soil,113,0.165,7,4,0,NA,NA,FALSE,NA,NA
CS2024_000025,experiment,Chamaecrista_latistipula,P13_b,P13,rhizobium_absent_sand_soil,113,0.16,16,1,0,NA,NA,FALSE,NA,NA
CS2024_000026,experiment,Chamaecrista_latistipula,P20_b,P20,rhizobium_absent_sand_soil,113,0.25,13,2,0,NA,NA,FALSE,NA,NA
CS2024_000027,experiment,Chamaecrista_latistipula,P11_b,P11,rhizobium_absent_sand_soil,113,0.37,11,11,0,NA,NA,FALSE,NA,NA
CS2024_000028,experiment,Chamaecrista_latistipula,P16_b,P16,rhizobium_absent_sand_soil,113,0.43,13,11,0,NA,NA,FALSE,NA,NA
CS2024_000029,experiment,Chamaecrista_latistipula,4109_b,4109,rhizobium_absent_sand_soil,113,0.36,14,10,0,NA,NA,FALSE,NA,NA
CS2024_000030,experiment,Chamaecrista_latistipula,1979_b,1979,rhizobium_absent_sand_soil,113,0.42,11,10,0,NA,NA,FALSE,NA,NA
