key,data_source,species_reported,experiment_treatment,experiment_day,experiment_matrix_id,matrix_plant_n,matrix_mortality_n,matrix_mortality_ratio,matrix_survival_n,matrix_mortality_index,experiment_plant_id,plant_height,stem_n,stem_total_mass,leaf_n,leaf_efn_active_n,leaf_samp_n,leaf_samp_mass,leaf_total_mass,leaf_max_length,root__total_mass,nodule_n,nodule_samp_n,nodule_samp_mass,nodule_total_mass,flower_bud_n,flower_n,fruit_n
CS2025_000001,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M02,9,1,0.111,8,1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000002,experiment,Chamaecrista_nictitans,rhizobium_present,90,M02,13,0,0,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000003,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M03,16,8,0.500,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000004,experiment,Chamaecrista_nictitans,rhizobium_present,90,M03,15,4,0.267,11,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000005,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M07,8,2,0.250,6,1.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000006,experiment,Chamaecrista_nictitans,rhizobium_present,90,M07,11,1,0.091,10,1.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000007,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M08,6,0,0,6,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000008,experiment,Chamaecrista_nictitans,rhizobium_present,90,M08,12,1,0.083,11,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000009,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M09,14,1,0.071,13,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000010,experiment,Chamaecrista_nictitans,rhizobium_present,90,M09,12,0,0.000,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000011,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M11,21,5,0.238,16,1.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000012,experiment,Chamaecrista_nictitans,rhizobium_present,90,M11,13,1,0.077,12,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000013,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M12,8,1,0.125,7,1.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000014,experiment,Chamaecrista_nictitans,rhizobium_present,90,M12,6,1,0.167,5,1.200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000015,experiment,Chamaecrista_nictitans,rhizobium_absent,90,M13,9,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS2025_000016,experiment,Chamaecrista_nictitans,rhizobium_present,90,M13,7,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
