key,data_source,species_reported,nodule_presence,bacteroid_type,reference
EJ0000_000001,literature,Chamaecrista_absus,TRUE,SYM,Naisbitt_1992
EJ0000_000002,literature,Chamaecrista_adiantifolia,TRUE,FT,de_Faria_2022
EJ0000_000003,literature,Chamaecrista_apoucouita,TRUE,NA,Pons_2007
EJ0000_000004,literature,Chamaecrista_arrojadoana,TRUE,FT-SYM,Casaes_2024
EJ0000_000005,field,Chamaecrista_aspleniifolia,TRUE,NA,de_Faria_unpublished
EJ0000_000006,literature,Chamaecrista_bahiae,TRUE,FT,Casaes_2024
EJ0000_000007,literature,Chamaecrista_belemii,TRUE,FT-SYM,Casaes_2024
EJ0000_000008,literature,Chamaecrista_biensis,TRUE,NA,Sprent_2009
EJ0000_000009,literature,Chamaecrista_blanchetii,TRUE,FT,Casaes_2024
EJ0000_000010,literature,Chamaecrista_brachystachya,TRUE,FT,Casaes_2024
EJ0000_000011,literature,Chamaecrista_calycioides,TRUE,NA,Sprent_2009
EJ0000_000012,field,Chamaecrista_cathartica,TRUE,NA,de_Faria_unpublished
EJ0000_000013,literature,Chamaecrista_chapadae,TRUE,SYM,James_Whitty_Sprent_unpublished
EJ0000_000014,literature,Chamaecrista_choriophylla,TRUE,NA,James_Whitty_Sprent_unpublished
EJ0000_000015,field,Chamaecrista_ciliolata,TRUE,NA,de_Faria_unpublished
EJ0000_000016,literature,Chamaecrista_conferta,TRUE,NA,Sprent_2009
EJ0000_000017,literature,Chamaecrista_confertiformis,TRUE,FT,Casaes_2024
EJ0000_000018,literature,Chamaecrista_coradinii,TRUE,NA,Sprent_2009
EJ0000_000019,literature,Chamaecrista_cultrifolia,TRUE,NA,Sprent_2009
EJ0000_000020,literature,Chamaecrista_cytisoides,TRUE,SYM-FT,James_Whitty_Sprent_unpublished
EJ0000_000021,field,Chamaecrista_debilis,TRUE,NA,Nogueira_upublished
EJ0000_000022,field,Chamaecrista_decora,TRUE,NA,Nogueira_upublished
EJ0000_000023,literature,Chamaecrista_decumbens,TRUE,NA,Sprent_2009
EJ0000_000024,field,Chamaecrista_dentata,TRUE,NA,de_Faria_unpublished
EJ0000_000025,literature,Chamaecrista_desvauxii,TRUE,FT-SYM,Naisbitt_1992; Casaes_2024
EJ0000_000026,literature,Chamaecrista_diphylla,TRUE,NA,Sprent_2009
EJ0000_000027,field,Chamaecrista_distichoclada,TRUE,NA,Nogueira_upublished
EJ0000_000028,literature,Chamaecrista_duartei,TRUE,FT,Casaes_2024
EJ0000_000029,literature,Chamaecrista_eitenorum,TRUE,FT,Casaes_2024
EJ0000_000030,literature,Chamaecrista_ensiformis,TRUE,FT,Naisbitt_1992
EJ0000_000031,literature,Chamaecrista_fagoniodes,TRUE,NA,Sprent_2009
EJ0000_000032,literature,Chamaecrista_falcinella,TRUE,NA,Sprent_2009
EJ0000_000033,literature,Chamaecrista_fasciculata,TRUE,SYM,Naisbitt_1992; Casaes_2024
EJ0000_000034,literature,Chamaecrista_fenarolia,TRUE,NA,Sprent_2009
EJ0000_000035,literature,Chamaecrista_flexuosa,TRUE,SYM,Naisbitt_1992; Casaes_2024
EJ0000_000036,literature,Chamaecrista_geminata,TRUE,NA,Sprent_2009
EJ0000_000037,field,Chamaecrista_glandulosa,TRUE,NA,de_Faria_unpublished
EJ0000_000038,literature,Chamaecrista_gracilior,TRUE,NA,Sprent_2009
EJ0000_000039,field,Chamaecrista_hedysaroides,TRUE,NA,de_Faria_unpublished
EJ0000_000040,literature,Chamaecrista_hirsuta,TRUE,NA,Sprent_2009
EJ0000_000041,field,Chamaecrista_hispidula,TRUE,NA,de_Faria_unpublished
EJ0000_000042,literature,Chamaecrista_isidorea,TRUE,NA,Sprent_2009
EJ0000_000043,literature,Chamaecrista_jacobinea,TRUE,SYM,James_Whitty_Sprent_unpublished
EJ0000_000044,literature,Chamaecrista_kunthiana,TRUE,SYM,James_Whitty_Sprent_unpublished
EJ0000_000045,literature,Chamaecrista_latistipula,TRUE,NA,Souza_2024
EJ0000_000046,literature,Chamaecrista_leptadenia,TRUE,NA,Sprent_2009
EJ0000_000047,literature,Chamaecrista_leschenaultiana,TRUE,NA,Sprent_2009
EJ0000_000048,literature,Chamaecrista_lineata,TRUE,NA,Sprent_2009
EJ0000_000049,literature,Chamaecrista_mimosoides,TRUE,SYM,Naisbitt_1992
EJ0000_000050,literature,Chamaecrista_mucronata,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
EJ0000_000051,literature,Chamaecrista_neesiana,TRUE,NA,Sprent_2009
EJ0000_000052,field,Chamaecrista_negrensis,TRUE,NA,de_Faria_unpublished
EJ0000_000053,literature,Chamaecrista_nictitans,TRUE,SYM,Naisbitt_1992
EJ0000_000054,literature,Chamaecrista_nomame,TRUE,NA,Sprent_2009
EJ0000_000055,field,Chamaecrista_onusta,TRUE,NA,Nogueira_upublished
EJ0000_000056,literature,Chamaecrista_orbiculata,TRUE,NA,Sprent_2009
EJ0000_000057,literature,Chamaecrista_parva,TRUE,NA,Sprent_2009
EJ0000_000058,literature,Chamaecrista_pascuorum,TRUE,SYM,Casaes_2024
EJ0000_000059,literature,Chamaecrista_patellaria,TRUE,NA,Sprent_2009
EJ0000_000060,literature,Chamaecrista_pilosa,TRUE,NA,James_Whitty_Sprent_unpublished
EJ0000_000061,literature,Chamaecrista_polytricha,TRUE,NA,Sprent_2009
EJ0000_000062,literature,Chamaecrista_potentilla,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
EJ0000_000063,literature,Chamaecrista_pumila,TRUE,FT-SYM,Rathi_2018
EJ0000_000064,literature,Chamaecrista_ramosa,TRUE,FT-SYM,Casaes_2024
EJ0000_000065,literature,Chamaecrista_repens,TRUE,FT-SYM,Casaes_2024
EJ0000_000066,literature,Chamaecrista_rotundata,TRUE,FT-SYM,James_Whitty_Sprent_unpublished
EJ0000_000067,literature,Chamaecrista_rotundifolia,TRUE,SYM,Ferreira_dos_Santos_2017
EJ0000_000068,field,Chamaecrista_salvatoris,TRUE,NA,de_Faria_unpublished
EJ0000_000069,literature,Chamaecrista_serpens,TRUE,SYM,Casaes_2024
EJ0000_000070,literature,Chamaecrista_stenocarpa,TRUE,NA,Sprent_2009
EJ0000_000071,field,Chamaecrista_stricta,TRUE,SYM,James_unpublished
EJ0000_000072,literature,Chamaecrista_supplex,TRUE,SYM,Casaes_2024; Ferreira_dos_Santos_2017
EJ0000_000073,literature,Chamaecrista_swartzii,TRUE,NA,Sprent_2009
EJ0000_000074,literature,Chamaecrista_tragacanthoides,TRUE,NA,James_Whitty_Sprent_unpublished
EJ0000_000075,literature,Chamaecrista_venulosa,TRUE,NA,James_Whitty_Sprent_unpublished
EJ0000_000076,literature,Chamaecrista_viscosa,TRUE,SYM,James_Whitty_Sprent_unpublished
EJ0000_000077,literature,Chamaecrista_wittei,TRUE,NA,Sprent_2009
EJ0000_000078,literature,Chamaecrista_x_blanchetiformis,TRUE,FT,Casaes_2024
EJ0000_000079,field,Chamaecrista_xinguensis,TRUE,NA,de_Faria_unpublished
